station_id,name_uz,name_ru,line,walk_pop_10,bike_pop_10,walk_pop_5,walk_pop_15,walk_rank,walk_pctile,walk_tier,bike_rank,bike_pctile,bike_tier
CSV_47,Qipchok,Qipchok,Ring Line (Yellow),63476,342772,13650,131150,1,100.0,High,1,100.0,High
CSV_48,Turon,Turon,Ring Line (Yellow),52018,265475,11268,143281,2,98.0,High,4,93.9,High
CSV_43,Chinor,Chinor,Chilonzor Line,44028,265728,7189,97472,3,95.9,High,3,95.9,High
CSV_46,Quruvchilar,Quruvchilar,Ring Line (Yellow),41176,269328,7788,91112,4,93.9,High,2,98.0,High
CSV_45,Xonobod,Xonobod,Ring Line (Yellow),20065,162842,1550,52638,5,91.8,High,5,91.8,High
CSV_42,Yangihayot,Yangihayot,Chilonzor Line,7171,137610,469,37376,6,89.8,High,6,89.8,High
CSV_01,Xalqlar doʻstligi,Xalqlar doʻstligi,Chilonzor Line,4100,26561,834,9144,7,87.8,High,15,71.4,Medium
CSV_18,Kosmonavtlar,Kosmonavtlar,O'zbekiston Line,3946,28904,815,8676,8,85.7,High,10,81.6,High
CSV_06,Chorsu,Chorsu,O'zbekiston Line,3796,24007,784,9173,9,83.7,High,20,61.2,Medium
CSV_08,Mingoʻrik,Mingoʻrik,Yunusobod Line,3773,28369,743,9018,10,81.6,High,11,79.6,Medium
CSV_29,Yunusobod,Yunusobod,Yunusobod Line,3654,28086,869,8748,11,79.6,Medium,12,77.6,Medium
CSV_13,Tinchlik,Tinchlik,O'zbekiston Line,3651,20893,709,9053,12,77.6,Medium,26,49.0,Medium
CSV_10,Beruniy,Beruniy,O'zbekiston Line,3621,25140,779,8361,13,75.5,Medium,16,69.4,Medium
CSV_07,Oybek,Oybek,O'zbekiston Line,3595,26925,626,8746,14,73.5,Medium,13,75.5,Medium
CSV_14,Abdulla Qodiriy,Abdulla Qodiriy,Yunusobod Line,3568,18798,776,8311,15,71.4,Medium,30,40.8,Medium
CSV_15,Minor,Minor,Yunusobod Line,3551,24572,705,8626,16,69.4,Medium,17,67.3,Medium
