station_id,name_uz,name_ru,line,lon,lat,walk_area_5,walk_pop_5,walk_area_10,walk_pop_10,walk_area_15,walk_pop_15,bike_area_5,bike_pop_5,bike_area_10,bike_pop_10,bike_area_15,bike_pop_15,prd_walk,prd_bike
CSV_00,Novza,Novza,Chilonzor Line,69.2236165,41.2918722,0.2483,667,1.3468,3372,3.3195,8290,0.8154,2107,7.0683,17151,20.1805,46306,0.7525,0.3814
CSV_01,Xalqlar doʻstligi,Xalqlar doʻstligi,Chilonzor Line,69.2430959,41.3118987,0.3376,834,1.6741,4100,3.8952,9144,2.3012,5661,11.8204,26561,28.3486,67177,0.8428,0.5563
CSV_02,Mirzo Ulugʻbek,Mirzo Ulugʻbek,Chilonzor Line,69.2125834,41.2820342,0.2473,526,1.3417,2391,3.4311,6917,0.9748,1801,7.6283,16731,21.0473,49787,0.7371,0.4958
CSV_03,Chilonzor,Chilonzor,Chilonzor Line,69.2049735,41.274359,0.3619,727,1.573,3384,3.7071,8331,2.6937,5970,12.6133,29308,29.5974,69377,0.7685,0.5952
CSV_04,Milliy bogʻ,Milliy bogʻ,Chilonzor Line,69.2356663,41.3033944,0.22,339,1.1632,2022,2.9949,6135,0.9377,1967,6.7785,14949,20.7319,48574,0.716,0.4414
CSV_05,G'afur G'ulom,G'afur G'ulom,O'zbekiston Line,69.2458342,41.3278828,0.0709,159,0.741,1823,2.3487,5671,0.4394,1037,4.6312,11361,17.1716,40376,0.5971,0.2946
CSV_06,Chorsu,Chorsu,O'zbekiston Line,69.2368152,41.3258649,0.3135,784,1.5141,3796,3.6392,9173,1.5139,3804,9.6745,24007,25.3166,60901,0.7773,0.4621
CSV_07,Oybek,Oybek,O'zbekiston Line,69.2740501,41.2980128,0.2499,626,1.4331,3595,3.5582,8746,2.2408,5498,11.164,26925,26.511,62349,0.7371,0.5542
CSV_08,Mingoʻrik,Mingoʻrik,Yunusobod Line,69.2744102,41.299661,0.2885,743,1.5371,3773,3.6725,9018,2.3333,5729,11.8041,28369,27.9484,65776,0.7666,0.5931
CSV_09,Toshkent,Toshkent,O'zbekiston Line,69.2877212,41.2932886,0.2396,576,1.2211,3065,3.1223,7742,1.2222,3047,9.101,21886,24.0607,57076,0.6869,0.4349
CSV_10,Beruniy,Beruniy,O'zbekiston Line,69.2062046,41.3446152,0.342,779,1.5421,3621,3.5537,8361,2.0858,4923,10.6928,25140,26.9055,63968,0.7853,0.6099
CSV_11,Shahriston,Shahriston,Yunusobod Line,69.2881069,41.3531185,0.2634,640,1.353,3029,3.491,7778,0.996,2371,6.4528,14554,17.1834,37568,0.7409,0.3998
CSV_12,Mashinasozlar,Mashinasozlar,O'zbekiston Line,69.3051276,41.2989847,0.1676,396,0.6667,1621,1.5212,3429,0.9048,2104,5.376,12003,16.6694,37219,0.5182,0.3748
CSV_13,Tinchlik,Tinchlik,O'zbekiston Line,69.2191155,41.3323014,0.3231,709,1.5093,3651,3.7023,9053,1.3814,3352,8.4904,20893,22.5202,54767,0.7797,0.5247
CSV_14,Abdulla Qodiriy,Abdulla Qodiriy,Yunusobod Line,69.281759,41.3201924,0.3088,776,1.4254,3568,3.3547,8311,1.54,3905,7.9669,18798,21.018,49569,0.7937,0.5761
CSV_15,Minor,Minor,Yunusobod Line,69.2834163,41.3268923,0.2944,705,1.4195,3551,3.5121,8626,2.271,5519,10.3056,24572,22.6904,53610,0.7749,0.6208
CSV_16,Bodomzor,Bodomzor,Yunusobod Line,69.2845697,41.3371701,0.2229,431,1.3069,2860,3.3874,7678,1.7871,4044,8.6477,20239,21.341,49031,0.6993,0.577
CSV_17,Hamid Olimjon,Hamid Olimjon,Chilonzor Line,69.2957419,41.3181644,0.1281,353,0.9531,2341,2.7153,6655,0.9797,2410,5.3376,12785,16.9651,40825,0.5994,0.52
CSV_18,Kosmonavtlar,Kosmonavtlar,O'zbekiston Line,69.2647207,41.3051618,0.3222,815,1.6468,3946,3.7712,8676,2.8415,6685,12.4713,28904,29.4168,68596,0.8529,0.6345
