station_id,name_uz,prd_400m,prd_600m,prd_800m,prd_1000m,prd_1200m
CSV_00,Novza,0.6484,0.7393,0.7639,0.7733,0.7979
CSV_01,Xalqlar doʻstligi,0.856,0.8258,0.8329,0.8538,0.8198
CSV_02,Mirzo Ulugʻbek,0.6102,0.6531,0.7125,0.7542,0.7662
CSV_03,Chilonzor,0.8276,0.7186,0.7479,0.7484,0.7537
CSV_04,Milliy bogʻ,0.6725,0.6946,0.7361,0.7812,0.811
CSV_05,G'afur G'ulom,0.4644,0.5687,0.6261,0.6424,0.6593
CSV_06,Chorsu,0.7933,0.8042,0.8142,0.8211,0.8194
CSV_07,Oybek,0.6889,0.7034,0.6977,0.7531,0.7779
CSV_08,Mingoʻrik,0.7608,0.7311,0.7838,0.764,0.7895
CSV_09,Toshkent,0.6317,0.6208,0.6726,0.7658,0.7082
CSV_10,Beruniy,0.6847,0.7743,0.7877,0.7863,0.7683
CSV_11,Shahriston,0.6018,0.6572,0.7539,0.7543,0.761
CSV_12,Mashinasozlar,0.4404,0.5942,0.4944,0.573,0.6125
CSV_13,Tinchlik,0.7272,0.7332,0.7854,0.8048,0.8202
CSV_14,Abdulla Qodiriy,0.7684,0.7175,0.773,0.7893,0.8164
CSV_15,Minor,0.7321,0.7349,0.7746,0.7853,0.7895
CSV_16,Bodomzor,0.5585,0.6567,0.721,0.7685,0.7642
CSV_17,Hamid Olimjon,0.5135,0.6031,0.6156,0.6764,0.7044
CSV_18,Kosmonavtlar,0.7844,0.8313,0.872,0.8513,0.8404
CSV_19,Buyuk Ipak Yoʻli,0.7442,0.7864,0.824,0.7735,0.8018
CSV_20,Pushkin,0.5829,0.6241,0.6081,0.663,0.6908
CSV_21,Amir Temur xiyoboni,0.8292,0.7779,0.7859,0.7898,0.8132
CSV_22,Yunus Rajabiy,0.7802,0.8005,0.8186,0.7796,0.7869
CSV_23,Alisher Navoiy,0.7113,0.7482,0.8041,0.8174,0.7802
CSV_24,Paxtakor,0.7727,0.7365,0.7583,0.7525,0.7969
CSV_25,Oʻzbekiston,0.8238,0.7079,0.7546,0.7897,0.8287
CSV_26,Olmazor,0.5159,0.5903,0.6248,0.664,0.6648
CSV_27,Do'stlik,0.6934,0.716,0.7058,0.7243,0.749
CSV_28,Mustaqillik maydoni,0.7905,0.8347,0.7898,0.8085,0.8168
CSV_29,Yunusobod,0.7703,0.8273,0.8047,0.8256,0.8458
CSV_30,Turkiston,0.5505,0.5774,0.6193,0.6737,0.7023
CSV_31,Olmos,0.7748,0.7735,0.727,0.7859,0.8096
CSV_32,Texnopark,0.5692,0.6655,0.6684,0.6631,0.7036
CSV_33,Yashnobod,0.6369,0.7013,0.7339,0.7154,0.7277
CSV_34,Tuzel,0.6318,0.709,0.7168,0.7379,0.7614
CSV_35,Rohat,0.7435,0.5991,0.6312,0.6481,0.6081
CSV_36,Yangiobod,0.405,0.4096,0.355,0.3572,0.4001
CSV_37,Qo‘yliq,0.4664,0.5062,0.5706,0.6309,0.6249
CSV_38,Matonat,0.8715,0.7122,0.8139,0.8071,0.8107
CSV_39,Qiyot,0.6438,0.6767,0.7178,0.7321,0.748
CSV_40,Choshtepa,0.5057,0.5551,0.5293,0.5328,0.5652
CSV_41,O‘zgarish,0.6951,0.7184,0.724,0.7549,0.7449
CSV_42,Yangihayot,0.7146,0.7778,0.7926,0.7877,0.7726
CSV_43,Chinor,0.6185,0.6624,0.7201,0.7451,0.7343
CSV_44,Tolarik,0.5694,0.7037,0.6807,0.7754,0.7952
CSV_45,Xonobod,0.6691,0.7483,0.801,0.7471,0.7873
CSV_46,Quruvchilar,0.6823,0.7591,0.7409,0.7019,0.7816
CSV_47,Qipchok,0.7463,0.773,0.7938,0.7912,0.7784
CSV_48,Turon,0.6286,0.7351,0.6588,0.6524,0.7244
